implementation,n_samples,n_features,mean_fit_time,std_fit_time,mean_predict_time,std_predict_time,mean_score,std_score,n_runs
normal_equation,1000,5,0.00023201692383736371,0.00043434524865760323,2.6554008945822717e-05,6.938649281391676e-06,0.9975155679911746,1.1102230246251565e-16,10
gradient_descent,1000,5,0.3636607667198405,0.02741671781712809,0.00010343764442950487,2.9763446345154555e-05,0.9975155678369576,0.0,10
parallel_gd,1000,5,5.3822218250017615,0.6325567416264911,0.00016971263103187083,7.813152902958975e-05,0.9975154517277895,1.1102230246251565e-16,10
sklearn,1000,5,0.0026354291709139942,0.005405064275810583,0.00016831271350383758,6.981482751161363e-05,0.9975155679911746,1.1102230246251565e-16,10
normal_equation,5000,10,0.0007510917959734798,0.0009062016478955838,6.509586237370967e-05,2.3628068388118388e-05,0.9985667228876555,0.0,10
gradient_descent,5000,10,0.38229000829160215,0.03634215905830456,0.00015366259030997754,6.1002969028674214e-05,0.9985667228014948,1.1102230246251565e-16,10
parallel_gd,5000,10,5.030161733389832,0.6061746528804469,0.00018014973029494284,4.995694923537298e-05,0.9985666526437299,1.1102230246251565e-16,10
sklearn,5000,10,0.0018055124441161753,0.0002800075725126185,0.00020631658844649792,0.00010880366241278537,0.9985667228876555,0.0,10
normal_equation,10000,15,0.0009569456800818443,0.0008681257844173892,0.00017659168224781752,0.00010150200893962979,0.9987365311054793,0.0,10
gradient_descent,10000,15,0.3656217541079968,0.04318725798792432,0.00013319570571184157,5.5037754610834514e-05,0.9987365312094185,0.0,10
parallel_gd,10000,15,5.256171675096266,0.8491748866038731,0.00024056644178926945,6.191194846693039e-05,0.998736627664392,0.0,10
sklearn,10000,15,0.0034158041467890143,0.0004959527300961778,0.00014182899612933398,2.799495281293505e-05,0.9987365311054793,0.0,10
normal_equation,20000,20,0.001670737680979073,0.0002169878565434916,0.0002412624889984727,5.6033922017565796e-05,0.9995880244955903,0.0,10
gradient_descent,20000,20,0.7654368373565376,0.2217008137264359,0.00035755836870521307,0.00011705891533122595,0.9995880244919931,1.1102230246251565e-16,10
parallel_gd,20000,20,6.628572000004351,0.5948496058472427,0.00046315432991832494,0.00010209602490008498,0.9995880188904975,1.1102230246251565e-16,10
sklearn,20000,20,0.00843395406845957,0.0010978909528944762,0.00030087078921496867,7.738285321789485e-05,0.9995880244955903,0.0,10
